ID;LAT;LNG;NOMBRE;DIRECCION;TELEFONO;EMAIL;WEB;MECANICA_S;HORARIO_DE;CALLE;ALTURA;DIRECCION_;BARRIO;COMUNA
1;-34.592305089760508;-58.425687936517456;BICICLETAS ARAOZ;ARAOZ 1458;011-4833-7887 / 011-4832-7704;INFO@BICICCLETASARAOZ.COM.AR;HTTP://WWW.BICICLETASARAOZ.COM.AR/;TRUE;LUN A VIER DE 9.30 A 19;ARAOZ;1458;ARAOZ 1458;PALERMO;COMUNA 14
2;-34.581377735345995;-58.425982052385855;RODA2ORO;ORO 2305;4774-0403;RODA2ORO@GMAIL.COM;HTTP://WWW.RODA2ORO.COM/;FALSE;LUN A VIER DE 10 A 13 Y DE 14.30 A 19 / SAB DE 10 A 13;FRAY JUSTO SANTAMARIA DE ORO;2305;FRAY JUSTO SANTAMARIA DE ORO 2305;PALERMO;COMUNA 14
3;-34.653351621289524;-58.415342960345164;WALTER;LINCH 3914;4912-2738;WALTERBIKES-10@HOTMAIL.COM;;FALSE;;LYNCH;3914;LYNCH 3914;NUEVA POMPEYA;COMUNA 4
4;-34.594350872975653;-58.443244127500222;BICI SHOP;VILLAROEL 1093;4855-8329;INFO@TUBICICLETERIA.COM;WWW.TUBICICLETERIA.COM;FALSE;;VILLARROEL;1093;VILLARROEL 1093;VILLA CRESPO;COMUNA 15
5;-34.608363589150592;-58.37733437532922;BICICLETERIAS EL COLO;RIVADAVIA 770;4342--3887;INFO@BICICLETERIAELCOLO.COM.AR;HTTP://WWW.BICICLETERIAELCOLO.COM.AR/;TRUE;LUN A VIER DE 9 A 19/SAB DE 9 A 13;RIVADAVIA AV.;770;RIVADAVIA AV. 770;MONSERRAT;COMUNA 1
6;-34.59767740096764;-58.415801761616187;CANAGLIA (CORDOBA);AVDA. CORDOBA 3489;3535-2381;CORDOBA3489@CANAGLIA.COM;HTTP://WWW.CANAGLIA.COM/;TRUE;LUN A VIER DE 9.30 A 13.30 Y DE 15.30 A 19.30/SAB DE 9 A 13 Y 15 A 18;CORDOBA AV.;3489;CORDOBA AV. 3489;RECOLETA;COMUNA 2
7;-34.60005925815959;-58.380649117652233;CANAGLIA (VIAMONTE);VIAMONTE 967;4322-3426;CANAGLIACENTRO@GMAIL.COM;HTTP://WWW.CANAGLIA.COM/;TRUE;LUN A VIER DE 9 A 18.30;VIAMONTE;967;VIAMONTE 967;SAN NICOLAS;COMUNA 1
8;-34.639415424369993;-58.514123233796333;CANAGLIA (RIVADAVIA);AV. RIVADAVIA 10700;4644-3531;LINIERS@CANAGLIA.COM;HTTP://WWW.CANAGLIA.COM/;TRUE;LUN A VIER DE 9 A 13 Y DE 15 A 19.30/SAB DE 9 A 13.30 Y DE 15 A 18;RIVADAVIA AV.;10700;RIVADAVIA AV. 10700;LINIERS;COMUNA 9
9;-34.580139415205018;-58.414053102650939;CANAGLIA (LAFINUR);LAFINUR 3057;4801-6007;PALERMO@CANAGLIA.COM;HTTP://WWW.CANAGLIA.COM/;TRUE;LUN A VIER DE 10 A 13.30 Y DE 15 A 19.45/SAB DE 10 A 14 Y DE 15 A 18;LAFINUR;3057;LAFINUR 3057;PALERMO;COMUNA 14
10;-34.605806495677065;-58.396488275007513;ESPINDOLA BIKE;JUNIN 305;4953 7335;INFO@ESPINDOLABIKES.COM.AR;WWW.ESPINDOLABIKES.COM.AR;FALSE;LUN A VIER DE 9.30 A 20/SAB DE 9.30 A 17;JUNIN;305;JUNIN 305;BALVANERA;COMUNA 3
11;-34.625752245725984;-58.377816476558728;LA ESQUINA DEL RODADO;AV. GARAY 900;4300-2781;;;FALSE;LUN A VIER 9 A 19;GARAY, JUAN DE AV.;900;GARAY, JUAN DE AV. 900;CONSTITUCION;COMUNA 1
12;-34.578005939499434;-58.430919465056249;MILLENIUM BIKE;BONPLAND 2393;4779-0871;MILENIUMBIKE@HOTMAIL.ES // MILENIUMBIKER@YAHOO.COM;;TRUE;LUN A SAB DE 9 A 20;BONPLAND;2393;BONPLAND 2393;PALERMO;COMUNA 14
13;-34.60904957217646;-58.432565143192676;NODARI BOUTIQUE;EDUARDO ACEVEDO 575;4982-3418;VENTAS@NODARI.COM.AR;HTTP://WWW.NODARI.COM.AR/;FALSE;LUNES A VIERNES DE 10 A 19HS- SABADOS 9 A 15HS;ACEVEDO, EDUARDO;575;ACEVEDO, EDUARDO 575;CABALLITO;COMUNA 6
